Product Code,0001
Points,x,y,z
pt,-28.7067,93.9395,0
pt,-28.9899,93.9582,0
pt,-29.4524,93.9645,0
pt,-30.0849,93.9846,0
pt,-30.8544,94.0307,0
pt,-31.7279,94.1146,0
pt,-32.6724,94.2484,0
pt,-33.161,94.3377,0
pt,-33.655,94.4439,0
pt,-34.1503,94.5686,0
pt,-34.6427,94.7133,0
pt,-35.1282,94.8794,0
pt,-35.6026,95.0684,0
pt,-36.0617,95.2819,0
pt,-36.5015,95.5213,0
pt,-37.3067,96.0838,0
pt,-37.985,96.7681,0
pt,-38.5036,97.5861,0
pt,-38.6926,98.0489,0
pt,-38.8294,98.5497,0
pt,-38.9097,99.0898,0
pt,-38.9294,99.6709,0
pt,-38.8762,100.376,0
pt,-38.7489,101.128,0
pt,-38.5562,101.917,0
pt,-38.3064,102.737,0
pt,-38.008,103.579,0
pt,-37.6694,104.435,0
pt,-37.2992,105.297,0
pt,-36.9057,106.158,0
pt,-36.4824,107.039,0
pt,-36.0459,107.91,0
pt,-35.5989,108.774,0
pt,-35.144,109.631,0
pt,-34.6839,110.482,0
pt,-34.2212,111.329,0
pt,-33.7586,112.172,0
pt,-33.2986,113.013,0
pt,-32.8884,113.769,0
pt,-32.4818,114.524,0
pt,-32.0779,115.28,0
pt,-31.6761,116.035,0
pt,-31.2755,116.791,0
pt,-30.8754,117.547,0
pt,-30.475,118.304,0
pt,-30.0735,119.062,0
pt,-29.6703,119.821,0
pt,-29.2645,120.582,0
pt,-28.8553,121.346,0
pt,-28.442,122.111,0
pt,-28.0239,122.879,0
pt,-27.6001,123.65,0
pt,-27.17,124.423,0
pt,-26.7327,125.201,0
pt,-26.4024,125.779,0
pt,-26.0653,126.355,0
pt,-25.7188,126.922,0
pt,-25.3605,127.475,0
pt,-24.9878,128.009,0
pt,-24.5982,128.518,0
pt,-24.1893,128.998,0
pt,-23.7586,129.442,0
pt,-23.3535,129.807,0
pt,-22.9301,130.14,0
pt,-22.4892,130.443,0
pt,-22.0321,130.718,0
pt,-21.5596,130.965,0
pt,-21.0729,131.186,0
pt,-20.5729,131.381,0
pt,-20.0608,131.553,0
pt,-19.5376,131.702,0
pt,-19.0042,131.828,0
pt,-18.4618,131.935,0
pt,-17.9113,132.022,0
pt,-17.3539,132.09,0
pt,-16.7905,132.142,0
pt,-16.2222,132.178,0
pt,-15.65,132.199,0
pt,-15.0738,132.206,0
pt,-14.4968,132.199,0
pt,-13.9214,132.177,0
pt,-13.3496,132.139,0
