Machine_Model_Code,MMC,,,,,
Motors,X,Y,Z,U,V,W
Bending_Pin_Microsteps,16,,,,,
Bending_Pin_Steps_Per_Mm,100,,,,,
Bending_Pin_Step_Angle,1.8,,,,,
Bending_Pin_Home_Angle,TBD,,,,,
Bending_Pin_Load_Angle,110,,,,,
Bending_Pin_Run_Angle,110,,,,,
Bending_Pin_Reduction_Ratio,2.625,,,,,
Bending_Pin_Home_Position,0,,,,,
Bending_Pin_End_Position,0,,,,,
Bending_Pin_Home_Offset,90,,,,,
Front_Gripper_Microsteps,16,,,,,
Front_Gripper_Steps_Per_Mm,100,,,,,
Front_Gripper_Step_Angle,1.8,,,,,
Front_Gripper_Home_Angle,39.04,,,,,
Front_Gripper_Home_Gap,5.1748,,,,,
Front_Gripper_Load_Gap,2,,,,,
Front_Gripper_Run_Gap,1,,,,,
Front_Gripper_Cam_Eccentricity,3.175,,,,,
Front_Gripper_Home_Position,0,,,,,
Front_Gripper_End_Position,0,,,,,
Rear_Gripper_Microsteps,16,,,,,
Rear_Gripper_Steps_Per_Mm,100,,,,,
Rear_Gripper_Step_Angle,1.8,,,,,
Rear_Gripper_Home_Angle,28.19,,,,,
Rear_Gripper_Home_Gap,4.675,,,,,
Rear_Gripper_Load_Gap,2,,,,,
Rear_Gripper_Run_Gap,2,,,,,
Rear_Gripper_Cam_Eccentricity,3.175,,,,,
Rear_Gripper_Home_Position,0,,,,,
Rear_Gripper_End_Position,0,,,,,
Advancement_Microsteps,16,,,,,
Advancement_Steps_Per_Mm,100,,,,,
Advancement_Step_Angle,1.8,,,,,
Advancement_Home_Angle,43.55,,,,,
Advancement_Home_Gap,10.72467,,,,,
Advancement_Load_Gap,8,,,,,
Advancement_Run_Gap,10.72467,,,,,
Advancement_Cam_Eccentricity,6.35,,,,,
Advancement_Home_Position,0,,,,,
Advancement_End_Position,0,,,,,
Vertical_Microsteps,16,,,,,
Vertical_Steps_Per_Mm,100,,,,,
Vertical_Step_Angle,1.8,,,,,
Vertical_Home_Angle,TBD,,,,,
Vertical_Load_Angle,0,,,,,
Vertical_Run_Angle,10,,,,,
Vertical_Reduction_Ratio,2.625,,,,,
Vertical_Home_Position,TBD,,,,,
Vertical_End_Position,TBD,,,,,
Vertical_Home_Offset,90,,,,,
Vertical_Drop_Angle,80,,,,,
Max_advancement_distance,5,,,,,
3D_Rotation_Home_Position,TBD,,,,,
3D_Rotation_Run_Position,TBD,,,,,
3D_Rotation_Reduction_Ratio,TBD,,,,,
Max_3D_Rotation_Angle,15,,,,,
